# length  acked  predicted_packets
       1      1                  1
      60     60                  1
      63     63                  1
      64     64                  2
      65     65                  2
     119    119                  2
     127    127                  2
     128    128                  3
     177    177                  3
    1024   1024                 17
    4352   4352                 69
   16853  16853                264
