arm	flow	exit	packets	bytes	dts	chunk_rsp	negotiated	verdict
A0-dts1024	dts1024	0	22	6559	32768	0	Hash=SHA_384 MeasHash=SHA_384 Asym=ECDSA_P384 PqcAsym=- DHE=SECP_384_R1 KEM=- AEAD=AES_256_GCM ReqAsym=ECDSA_P384 ReqPqcAsym=- KeySchedule=HMAC_HASH MeasSpec=DMTF OtherParam=OPAQUE_FMT_1	NEGOTIATION-MISMATCH
A0-dts2048	dts2048	0	22	6559	32768	0	Hash=SHA_384 MeasHash=SHA_384 Asym=ECDSA_P384 PqcAsym=- DHE=SECP_384_R1 KEM=- AEAD=AES_256_GCM ReqAsym=ECDSA_P384 ReqPqcAsym=- KeySchedule=HMAC_HASH MeasSpec=DMTF OtherParam=OPAQUE_FMT_1	NEGOTIATION-MISMATCH
A0-dts4608	dts4608	0	22	6559	32768	0	Hash=SHA_384 MeasHash=SHA_384 Asym=ECDSA_P384 PqcAsym=- DHE=SECP_384_R1 KEM=- AEAD=AES_256_GCM ReqAsym=ECDSA_P384 ReqPqcAsym=- KeySchedule=HMAC_HASH MeasSpec=DMTF OtherParam=OPAQUE_FMT_1	NEGOTIATION-MISMATCH
A0-dts8192	dts8192	0	22	6559	32768	0	Hash=SHA_384 MeasHash=SHA_384 Asym=ECDSA_P384 PqcAsym=- DHE=SECP_384_R1 KEM=- AEAD=AES_256_GCM ReqAsym=ECDSA_P384 ReqPqcAsym=- KeySchedule=HMAC_HASH MeasSpec=DMTF OtherParam=OPAQUE_FMT_1	NEGOTIATION-MISMATCH
A0-dts16384	dts16384	0	22	6559	32768	0	Hash=SHA_384 MeasHash=SHA_384 Asym=ECDSA_P384 PqcAsym=- DHE=SECP_384_R1 KEM=- AEAD=AES_256_GCM ReqAsym=ECDSA_P384 ReqPqcAsym=- KeySchedule=HMAC_HASH MeasSpec=DMTF OtherParam=OPAQUE_FMT_1	NEGOTIATION-MISMATCH
A0-dts32768	dts32768	0	22	6559	32768	0	Hash=SHA_384 MeasHash=SHA_384 Asym=ECDSA_P384 PqcAsym=- DHE=SECP_384_R1 KEM=- AEAD=AES_256_GCM ReqAsym=ECDSA_P384 ReqPqcAsym=- KeySchedule=HMAC_HASH MeasSpec=DMTF OtherParam=OPAQUE_FMT_1	as-declared
P2-dts1024	dts1024	0	22	58579	32768	0	Hash=SHA_384 MeasHash=SHA_384 Asym=- PqcAsym=ML_DSA_65 DHE=- KEM=ML_KEM_768 AEAD=AES_256_GCM ReqAsym=ECDSA_P384 ReqPqcAsym=- KeySchedule=HMAC_HASH MeasSpec=DMTF OtherParam=OPAQUE_FMT_1	NEGOTIATION-MISMATCH
P2-dts2048	dts2048	0	22	58579	32768	0	Hash=SHA_384 MeasHash=SHA_384 Asym=- PqcAsym=ML_DSA_65 DHE=- KEM=ML_KEM_768 AEAD=AES_256_GCM ReqAsym=ECDSA_P384 ReqPqcAsym=- KeySchedule=HMAC_HASH MeasSpec=DMTF OtherParam=OPAQUE_FMT_1	NEGOTIATION-MISMATCH
P2-dts4608	dts4608	0	22	58579	32768	0	Hash=SHA_384 MeasHash=SHA_384 Asym=- PqcAsym=ML_DSA_65 DHE=- KEM=ML_KEM_768 AEAD=AES_256_GCM ReqAsym=ECDSA_P384 ReqPqcAsym=- KeySchedule=HMAC_HASH MeasSpec=DMTF OtherParam=OPAQUE_FMT_1	NEGOTIATION-MISMATCH
P2-dts8192	dts8192	0	22	58579	32768	0	Hash=SHA_384 MeasHash=SHA_384 Asym=- PqcAsym=ML_DSA_65 DHE=- KEM=ML_KEM_768 AEAD=AES_256_GCM ReqAsym=ECDSA_P384 ReqPqcAsym=- KeySchedule=HMAC_HASH MeasSpec=DMTF OtherParam=OPAQUE_FMT_1	NEGOTIATION-MISMATCH
P2-dts16384	dts16384	0	22	58579	32768	0	Hash=SHA_384 MeasHash=SHA_384 Asym=- PqcAsym=ML_DSA_65 DHE=- KEM=ML_KEM_768 AEAD=AES_256_GCM ReqAsym=ECDSA_P384 ReqPqcAsym=- KeySchedule=HMAC_HASH MeasSpec=DMTF OtherParam=OPAQUE_FMT_1	NEGOTIATION-MISMATCH
P2-dts32768	dts32768	0	22	58579	32768	0	Hash=SHA_384 MeasHash=SHA_384 Asym=- PqcAsym=ML_DSA_65 DHE=- KEM=ML_KEM_768 AEAD=AES_256_GCM ReqAsym=ECDSA_P384 ReqPqcAsym=- KeySchedule=HMAC_HASH MeasSpec=DMTF OtherParam=OPAQUE_FMT_1	as-declared
